Commodity,Unit,Location,Spot Price(Rs.),Up/Down,Date,Time
GOLD,10 GRMS,AHMEDABAD,50005,+,31 Dec 2020,18:32
GOLD,10 GRMS,AHMEDABAD,49993,+,31 Dec 2020,13:54
GOLD,10 GRMS,AHMEDABAD,49774,-,30 Dec 2020,17:50
GOLD,10 GRMS,AHMEDABAD,49881,+,30 Dec 2020,14:05
GOLD,10 GRMS,AHMEDABAD,49854,+,29 Dec 2020,18:12
GOLD,10 GRMS,AHMEDABAD,49851,-,29 Dec 2020,14:15
GOLD,10 GRMS,AHMEDABAD,49866,-,28 Dec 2020,18:19
GOLD,10 GRMS,AHMEDABAD,50074,+,28 Dec 2020,14:24
GOLD,10 GRMS,AHMEDABAD,49787,-,24 Dec 2020,17:25
GOLD,10 GRMS,AHMEDABAD,49847,+,24 Dec 2020,13:42
GOLD,10 GRMS,AHMEDABAD,49706,-,23 Dec 2020,17:34
GOLD,10 GRMS,AHMEDABAD,49758,-,23 Dec 2020,13:40
GOLD,10 GRMS,AHMEDABAD,49979,+,22 Dec 2020,17:14
GOLD,10 GRMS,AHMEDABAD,49897,-,22 Dec 2020,14:03
GOLD,10 GRMS,AHMEDABAD,50115,-,21 Dec 2020,17:38
GOLD,10 GRMS,AHMEDABAD,50420,+,21 Dec 2020,14:15
GOLD,10 GRMS,AHMEDABAD,49939,-,18 Dec 2020,17:41
GOLD,10 GRMS,AHMEDABAD,49980,+,18 Dec 2020,13:37
GOLD,10 GRMS,AHMEDABAD,49790,+,17 Dec 2020,17:34
GOLD,10 GRMS,AHMEDABAD,49694,+,17 Dec 2020,13:53
GOLD,10 GRMS,AHMEDABAD,49601,=,16 Dec 2020,19:31
GOLD,10 GRMS,AHMEDABAD,49377,+,16 Dec 2020,13:39
GOLD,10 GRMS,AHMEDABAD,49103,+,15 Dec 2020,17:27
GOLD,10 GRMS,AHMEDABAD,49099,+,15 Dec 2020,14:22
GOLD,10 GRMS,AHMEDABAD,48695,-,14 Dec 2020,18:02
GOLD,10 GRMS,AHMEDABAD,48830,-,14 Dec 2020,14:21
GOLD,10 GRMS,AHMEDABAD,48985,+,11 Dec 2020,18:23
GOLD,10 GRMS,AHMEDABAD,48933,-,11 Dec 2020,14:16
GOLD,10 GRMS,AHMEDABAD,49049,+,10 Dec 2020,18:18
GOLD,10 GRMS,AHMEDABAD,49017,-,10 Dec 2020,14:06
GOLD,10 GRMS,AHMEDABAD,49505,-,09 Dec 2020,18:14
GOLD,10 GRMS,AHMEDABAD,49531,-,09 Dec 2020,14:16
GOLD,10 GRMS,AHMEDABAD,49671,-,08 Dec 2020,18:31
GOLD,10 GRMS,AHMEDABAD,49796,+,08 Dec 2020,14:24
GOLD,10 GRMS,AHMEDABAD,49059,-,07 Dec 2020,18:27
GOLD,10 GRMS,AHMEDABAD,49089,-,07 Dec 2020,14:23
GOLD,10 GRMS,AHMEDABAD,49153,-,04 Dec 2020,17:49
GOLD,10 GRMS,AHMEDABAD,49285,-,04 Dec 2020,13:48
GOLD,10 GRMS,AHMEDABAD,49361,+,03 Dec 2020,18:10
GOLD,10 GRMS,AHMEDABAD,49242,+,03 Dec 2020,13:27
GOLD,10 GRMS,AHMEDABAD,48973,+,02 Dec 2020,18:14
GOLD,10 GRMS,AHMEDABAD,48575,+,02 Dec 2020,13:47
GOLD,10 GRMS,AHMEDABAD,48314,+,01 Dec 2020,17:10
GOLD,10 GRMS,AHMEDABAD,47891,-,01 Dec 2020,13:24
GOLD,10 GRMS,AHMEDABAD,48778,=,30 Nov 2020,17:08
GOLD,10 GRMS,AHMEDABAD,48778,+,27 Nov 2020,19:23
GOLD,10 GRMS,AHMEDABAD,48751,-,27 Nov 2020,13:44
GOLD,10 GRMS,AHMEDABAD,48965,+,26 Nov 2020,18:00
GOLD,10 GRMS,AHMEDABAD,48891,-,26 Nov 2020,14:07
GOLD,10 GRMS,AHMEDABAD,48947,-,25 Nov 2020,19:25
GOLD,10 GRMS,AHMEDABAD,48988,+,25 Nov 2020,14:27
GOLD,10 GRMS,AHMEDABAD,48958,-,24 Nov 2020,18:42
GOLD,10 GRMS,AHMEDABAD,49258,-,24 Nov 2020,14:56
GOLD,10 GRMS,AHMEDABAD,50180,-,23 Nov 2020,17:53
GOLD,10 GRMS,AHMEDABAD,50395,+,23 Nov 2020,13:54
GOLD,10 GRMS,AHMEDABAD,50199,+,20 Nov 2020,17:41
GOLD,10 GRMS,AHMEDABAD,50161,+,20 Nov 2020,13:55
GOLD,10 GRMS,AHMEDABAD,50141,-,19 Nov 2020,17:52
GOLD,10 GRMS,AHMEDABAD,50199,-,19 Nov 2020,13:43
GOLD,10 GRMS,AHMEDABAD,50738,=,18 Nov 2020,12:46
GOLD,10 GRMS,AHMEDABAD,50738,=,17 Nov 2020,13:09
GOLD,10 GRMS,AHMEDABAD,50738,=,16 Nov 2020,17:23
GOLD,10 GRMS,AHMEDABAD,50738,=,14 Nov 2020,18:31
GOLD,10 GRMS,AHMEDABAD,50738,-,13 Nov 2020,17:45
GOLD,10 GRMS,AHMEDABAD,50780,+,13 Nov 2020,13:31
GOLD,10 GRMS,AHMEDABAD,50536,+,12 Nov 2020,17:40
GOLD,10 GRMS,AHMEDABAD,50473,-,12 Nov 2020,13:18
GOLD,10 GRMS,AHMEDABAD,50530,+,11 Nov 2020,17:24
GOLD,10 GRMS,AHMEDABAD,50478,+,11 Nov 2020,13:27
GOLD,10 GRMS,AHMEDABAD,50446,-,10 Nov 2020,17:14
GOLD,10 GRMS,AHMEDABAD,50732,-,10 Nov 2020,13:28
GOLD,10 GRMS,AHMEDABAD,52280,+,09 Nov 2020,17:44
GOLD,10 GRMS,AHMEDABAD,52208,+,09 Nov 2020,13:43
GOLD,10 GRMS,AHMEDABAD,52192,+,06 Nov 2020,18:31
GOLD,10 GRMS,AHMEDABAD,52037,+,06 Nov 2020,14:39
GOLD,10 GRMS,AHMEDABAD,51313,+,05 Nov 2020,18:06
GOLD,10 GRMS,AHMEDABAD,51282,+,05 Nov 2020,13:57
